localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Salta	Hermoso departamento	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	9,0	Precio $ 146.689	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Hotel Nuevo Reyes		9,0	Precio $ 147.922	+ $ 31.064 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamento salta capital	Apartamento entero, 2 dormitorios, 1 sala de estar, 2 baños	NA	Precio original $ 187.022. Precio actual $ 149.617.	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Lo del Negro	Apartamento entero, 1 dormitorio, 1 baño, 35m²	10	Precio $ 199.078	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Paseo de los Poetas Esteco 260	Apartamento entero, 1 dormitorio, 1 baño, 35m²	9,2	Precio $ 173.512	+ $ 36.438 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamento de lujo en Salta Capital	Apartamento entero, 2 dormitorios, 2 baños, 1 cocina, 83m²	9,5	Precio $ 347.616	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	MIS Apart	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 45m²	NA	Precio $ 216.902	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamento Salta Capital	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 40m²	9,6	Precio $ 160.248	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Naturaleza y tranquilidad	Villa entera, 3 dormitorios, 3 baños, 1 cocina, 200m²	9,7	Precio $ 739.608	+ $ 155.318 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Haus Apart Hotel	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 55m²	10	Precio $ 368.571	+ $ 77.400 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Como en Casa Salta Capital	Apartamento entero, 3 dormitorios, 2 baños, 1 cocina	6,5	Precio $ 184.902	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamento Gral. Güemes	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina, 41m²	10	Precio $ 249.938	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	LIA	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño	8,1	Precio $ 197.229	+ $ 41.418 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Dpto. Tribuno	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 65m²	9,6	Precio $ 136.211	+ $ 28.604 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamento Tampu Huasi	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 53m²	NA	Precio $ 175.657	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamento Belgrano	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 45m²	NA	Precio $ 152.236	+ $ 31.970 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamento barrio grand bourg salta	Apartamento entero, 1 dormitorio, 1 sala de estar, 2 baños, 1 cocina, 70m²	9,2	Precio $ 135.595	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
