localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Resistencia	Departamento con piscina	Apartamento entero, 1 dormitorio, 1 baño	10	Precio $ 62.867	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	Torre Paris 51	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 36m²	8,5	Precio $ 136.211	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	Torre PARIS 84	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 40m²	9,2	Precio $ 152.236	+ $ 31.970 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	Departamento Temporario Reggiardo	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 50m²	9,0	Precio $ 147.922	+ $ 1.761 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	Departamento moderno y con excelente ubicación	Apartamento entero, 1 dormitorio, 1 sala de estar, 2 baños, 1 cocina	9,7	Precio $ 115.256	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	Departamento temporario con cochera	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 54m²	9,5	Precio original $ 73.961. Precio actual $ 62.867.	+ $ 14.259 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	Residencia Dos Soles -Resistencia Chaco	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 100m²	9,2	Precio $ 106.873	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	LIZARRA Monoambiente RESISTENCIA- 100 mts peatonal	Apartamento entero, 1 dormitorio, 1 baño, 25m²	9,0	Precio $ 93.684	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	Departamento Belgrano	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 40m²	8,8	Precio $ 110.941	+ $ 1.409 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	Departamento TOBA	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 35m²	8,9	Precio $ 136.211	+ $ 1.409 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	COLON 66 Departamento Temporario ideal familia	Apartamento entero, 2 dormitorios, 1 sala de estar, 2 baños, 1 cocina, 113m²	9,0	Precio $ 167.644	+ $ 1.761 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	Duplex Donovan	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina	9,5	Precio $ 85.499	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	Departamento Duvivier	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 30m²	10	Precio $ 64.124	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	Hermoso departamento de un dormitorio con estacionamiento mediano	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 42m²	9,2	Precio original $ 51.773. Precio actual $ 44.007.	+ $ 8.629 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	Departamento temporario en Resistencia	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 33m²	9,1	Precio $ 73.344	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	Monoambiente en Resistencia	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 36m²	9,6	Precio original $ 98.614. Precio actual $ 83.822.	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	M&C temporal	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina	8,8	Precio $ 97.973	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	Departamento Temporario	Apartamento entero, 1 dormitorio, 1 baño	8,4	Precio $ 98.614	+ $ 20.709 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	Mer	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 32m²	NA	Precio original $ 94.300. Precio actual $ 75.440.	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Departamentos costanera corrientes	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 47m²	NA	Precio $ 71.249	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Alquilo dpto en corrientes-moreno 634	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	NA	Precio $ 87.865	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Tajy Estudio- Monoambiente - Barrio Residencial	Apartamento entero, 1 dormitorio, 1 baño, 35m²	8,7	Precio $ 75.440	+ $ 1.233 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Hermoso, cuidado y confortable departamento .	Apartamento entero, 2 dormitorios, 2 baños, 94m²	NA	Precio $ 251.467	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Casa Salta	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 46m²	9,4	Precio $ 81.110	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Pucara Apart - Habitaciones con baño privado	Apartamento entero, 1 dormitorio, 1 baño, 15m²	7,7	Precio $ 78.891	+ $ 16.567 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Monoambientes Peatonal - con cochera	Apartamento entero, 1 dormitorio, 1 baño, 22m²	9,0	Precio $ 99.847	+ $ 20.968 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	La Boutique Aparts Temporarios Corrientes Pleno centro	Apartamento entero, 1 dormitorio, 1 baño, 30m²	8,8	Precio $ 108.183	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Torre Costanera Norte	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 29m²	8,7	Precio $ 147.922	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Departamento Arazá - Preciosa Vista al Río	Apartamento entero, 2 dormitorios, 1 baño, 52m²	9,0	Precio $ 155.318	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	LAVALLE 80 - CORRIENTES - A PASOS DE PLAYA Y COSTANERA	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 45m²	9,3	Precio $ 118.337	+ $ 24.851 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Departamento Malvinas	Apartamento entero, 2 dormitorios, 1 sala de estar, 2 baños, 85m²	9,3	Precio $ 124.254	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
